feature	coef	Family_Name
M0015_1.02_FWD_4	1.32762845340847	AP2
M0770_1.02_FWD_3	1.32067691994131	GATA
M0035_1.02_REV_6	1.32031075776027	AP2
M1325_1.02_REV_7	-1.31711745367055	Myb/SANT
M1314_1.02_FWD_3	1.31498661086933	Myb/SANT
M0007_1.02_REV_5	1.3140352275181	AP2
M1566_1.02_REV_2	1.30374912146142	SBP
M1569_1.02_FWD_1	1.30213720153541	SBP
M0764_1.02_REV_5	-1.28744236535558	GATA
M0843_1.02_FWD_7	-1.28270480209465	Homeodomain
M0654_1.02_FWD_2	1.27523738874649	Dof
M2347_1.02_REV_2	-1.26795116642819	MADS box
M0014_1.02_REV_5	1.26488754968713	AP2
M0119_1.02_FWD_3	-1.2574091727265	AT hook
M0847_1.02_FWD_6	1.23143094651712	Homeodomain
M1561_1.02_FWD_6	-1.22809991392654	SBP
M00503_ATHB5_01_REV_4	-1.22699137890596	Homeobox
M1326_1.02_FWD_6	1.22236183291586	Myb/SANT
M1690_1.02_FWD_1	1.22100912511552	WRKY
M0847_1.02_REV_7	-1.21204937567608	Homeodomain
M0258_1.02_REV_3	-1.21098996771087	bZIP
M0017_1.02_REV_4	-1.20562135070561	AP2
M0591_1.02_REV_3	-1.20539796265083	CxC
M0850_1.02_REV_4	1.20118008518025	Homeodomain
M0653_1.02_FWD_1	-1.20025008339882	Dof
M1644_1.02_REV_6	-1.19607801131868	TCP
M0014_1.02_REV_4	1.19363516380947	AP2
M2356_1.02_FWD_3	1.16366565572883	MADS box
M0007_1.02_REV_2	-1.15589620642783	AP2
M0653_1.02_REV_1	1.15480668229626	Dof
M1701_1.02_FWD_6	-1.1511838469476	WRKY
M1691_1.02_FWD_4	-1.14964315892442	WRKY
M1619_1.02_REV_1	-1.14253973156001	Storekeeper
M0039_1.02_FWD_5	-1.13635948912771	AP2
M1274_1.02_REV_6	1.13582375926827	LOB
M2351_1.02_FWD_5	-1.12545689088135	MADS box
M0589_1.02_REV_4	1.11988154670898	CxC
M0852_1.02_FWD_5	-1.11918164927964	Homeodomain
M1341_1.02_REV_3	-1.11776935241203	Myb/SANT
M0259_1.02_FWD_3	-1.11116927587421	bZIP
M0264_1.02_FWD_2	-1.11043447494753	bZIP
M0078_1.02_REV_6	1.08893639453458	B3
M0078_1.02_REV_6	1.08893639453458	AP2,B3
M0021_1.02_FWD_7	-1.06831075916355	AP2
M0262_1.02_FWD_4	-1.06812264407679	bZIP
M0845_1.02_FWD_4	-1.06577595283798	Homeodomain
M00344_RAV1_02_REV_4	1.05883354279425	RAV
M0118_1.02_REV_3	1.05276202333072	AT hook
M2359_1.02_REV_3	-1.05040187600303	bHLH
M0151_1.02_FWD_2	1.04072645958534	bHLH
M0080_1.02_FWD_7	1.03735379160002	AP2,B3
M0271_1.02_REV_6	1.03196785889231	bZIP
M1339_1.02_REV_3	1.02966729752703	Myb/SANT
M0371_1.02_FWD_3	-1.02258563667753	C2H2 ZF
M1690_1.02_REV_5	1.01464673503725	WRKY
M0852_1.02_REV_4	-1.01265369398355	Homeodomain
M1340_1.02_FWD_7	-1.00942029136113	Myb/SANT
M0162_1.02_REV_4	1.00603374984595	bHLH
M0761_1.02_FWD_4	-1.00402531926586	GATA
M0373_1.02_FWD_2	-1.00368715905119	C2H2 ZF
M0682_1.02_REV_7	-1.00150808933586	EIN3
M0761_1.02_FWD_2	-0.996127269881747	GATA
M0118_1.02_REV_4	0.992867993397075	AT hook
